date,Account_nunique,Coin_nunique,Execution Price_mean,Size Tokens_sum,Size USD_sum,Side_<lambda>,Start Position_mean,Direction_<lambda>,Closed PnL_mean,Closed PnL_sum,Transaction Hash_count,Order ID_nunique,Crossed_sum,Fee_sum,Trade ID_nunique,timestamp,value,classification
2023-05-01,1,1,1898.1333333333332,0.25129999999999997,477.0,{'BUY': 3},0.09193333333333333,{'Open Long': 3},0.0,0.0,3,1,3,0.0,1,1682919000,63,Greed
2023-12-05,1,2,11038.3,11.80901,50005.83,"{'BUY': 7, 'SELL': 2}",2.513866666666667,"{'Open Long': 7, 'Open Short': 2}",0.0,0.0,9,2,9,12.501455,9,1701754200,75,Extreme Greed
2023-12-14,1,4,8031.868818181818,4092.28901,113203.35,"{'SELL': 6, 'BUY': 5}",-132.57430181818182,"{'Close Long': 4, 'Open Long': 3, 'Close Short': 2, 'Open Short': 2}",-18.675885181818188,-205.43473700000007,11,5,11,28.300831000000002,11,1702531800,72,Greed
2023-12-15,1,1,2.982,3558.0,10609.95,{'BUY': 2},-2440.0,{'Close Short': 2},-12.316016999999999,-24.632033999999997,2,1,2,2.652489,2,1702618200,70,Greed
2023-12-16,1,1,0.3847066666666667,39897.0,15348.77,{'BUY': 3},12124.666666666666,{'Open Long': 3},0.0,0.0,3,1,3,3.8371890000000004,3,1702704600,67,Greed
2023-12-17,1,3,802.5418592857143,86246.4486,116278.02,"{'SELL': 11, 'BUY': 3}",10738.717442857143,"{'Close Long': 11, 'Open Long': 3}",21.78448464285714,304.982785,14,5,14,29.069499,14,1702791000,73,Greed
2023-12-18,1,1,2178.1000000000004,14.306,31164.179999999997,{'BUY': 2},0.004,{'Open Long': 2},0.0,0.0,2,1,2,7.791045,2,1702877400,65,Greed
2023-12-19,1,2,447.8019113333333,161546.30599999998,91602.41,"{'SELL': 10, 'BUY': 5}",27078.30564,"{'Close Long': 10, 'Open Long': 5}",66.70257413333334,1000.5386120000001,15,3,15,22.900596,14,1702963800,73,Greed
2023-12-20,1,2,6.722871666666666,174520.2,141636.79,"{'BUY': 10, 'SELL': 8}",20047.266666666666,"{'Open Long': 10, 'Close Long': 8}",9.040682333333333,162.732282,18,6,18,35.409187,18,1703050200,74,Greed
2023-12-21,1,1,91.84020408163265,1364.3,125233.97,"{'SELL': 27, 'BUY': 22}",121.77714285714285,"{'Close Long': 27, 'Open Long': 22}",10.963498000000001,537.211402,49,6,49,31.308469,48,1703136600,70,Greed
2023-12-22,1,2,30692.8325,2450.7491,88874.28,"{'BUY': 8, 'SELL': 2}",251.338681,"{'Open Long': 8, 'Close Long': 2}",14.1832675,141.832675,10,3,10,22.218566000000003,10,1703223000,74,Greed
2023-12-23,1,2,3.0702846153846153,141665.4,78438.25,"{'SELL': 8, 'BUY': 5}",30063.046153846153,"{'Close Long': 8, 'Open Long': 5}",11.302823384615383,146.936704,13,3,13,19.609555,13,1703309400,70,Greed
2023-12-24,1,4,13680.54118025641,284682.19608,402954.94,"{'BUY': 21, 'SELL': 18}",22665.121184871794,"{'Open Long': 18, 'Close Long': 14, 'Open Short': 4, 'Close Short': 3}",25.862050153846155,1008.619956,39,10,39,100.738715,37,1703395800,71,Greed
2023-12-25,1,1,2275.4,26.3812,59948.51,"{'BUY': 2, 'SELL': 1}",4.545599999999999,"{'Open Long': 2, 'Close Long': 1}",-81.69378266666666,-245.081348,3,2,3,14.987124999999999,3,1703482200,73,Greed
2023-12-27,1,2,0.37319214285714286,455540.0,171411.06,"{'BUY': 15, 'SELL': 13}",38641.607142857145,"{'Open Long': 15, 'Close Long': 13}",-25.174615249999995,-704.8892269999999,28,6,28,42.852747,27,1703655000,73,Greed
2023-12-28,1,2,0.4032943478260869,263752.0,100117.25,"{'SELL': 13, 'BUY': 10}",29411.130434782608,"{'Close Long': 13, 'Open Long': 10}",-42.20569026086957,-970.730876,23,4,23,25.0293,21,1703741400,73,Greed
2023-12-29,1,4,3836.17816,15843.60258,569559.72,"{'BUY': 31, 'SELL': 19}",429.0781206,"{'Open Long': 24, 'Close Long': 13, 'Close Short': 7, 'Open Short': 6}",10.178442859999999,508.92214299999995,50,19,50,142.389901,45,1703827800,65,Greed
2023-12-30,1,3,13421.615271153847,158399.89232,702550.21,"{'SELL': 32, 'BUY': 20}",6261.575806538462,"{'Close Long': 24, 'Open Long': 11, 'Close Short': 9, 'Open Short': 8}",6.826897076923077,354.998648,52,15,52,175.637526,49,1703914200,68,Greed
2024-01-01,1,3,10373.330666666667,4178.78664,264239.52999999997,"{'BUY': 10, 'SELL': 8}",414.7732555555556,"{'Open Long': 9, 'Close Long': 5, 'Open Short': 3, 'Close Short': 1}",-7.196192222222223,-129.53146,18,6,18,66.059867,18,1704087000,65,Greed
2024-01-02,1,2,10199.892598764705,208218.35486,121348.74,"{'BUY': 9, 'SELL': 8}",-46986.74279,"{'Close Short': 9, 'Open Short': 8}",46.11641858823529,783.979116,17,4,17,30.337176,17,1704173400,71,Greed
2024-01-03,1,6,738.8837898507463,64502.1274,394499.36,"{'SELL': 35, 'BUY': 32}",1876.3014791044775,"{'Close Long': 35, 'Open Long': 32}",12.925604582089552,866.015507,67,14,67,98.624811,63,1704259800,70,Greed
2024-01-04,1,1,2212.62,45.0958,99792.54000000001,"{'SELL': 3, 'BUY': 2}",17.57154,"{'Close Long': 3, 'Open Long': 2}",-13.520728,-67.60364,5,2,5,24.948132,5,1704346200,68,Greed
2024-01-05,1,2,30495.46818181818,251.80766,1703942.66,"{'SELL': 35, 'BUY': 31}",-0.13111681818181825,"{'Open Long': 25, 'Open Short': 18, 'Close Long': 17, 'Close Short': 6}",2.486993409090909,164.141565,66,28,66,425.985639,64,1704432600,72,Greed
2024-01-06,1,3,6586.107318181818,7077.42664,298521.4,"{'BUY': 11, 'SELL': 11}",976.6085072727273,"{'Close Long': 10, 'Open Long': 9, 'Close Short': 2, 'Open Short': 1}",6.16280290909091,135.58166400000002,22,6,22,74.630342,22,1704519000,70,Greed
2024-01-07,1,8,7513.911021649485,165182.52107,1048850.06,"{'BUY': 52, 'SELL': 45}",4503.752768350516,"{'Open Long': 47, 'Close Long': 32, 'Open Short': 13, 'Close Short': 5}",-8.615270463917525,-835.681235,97,26,97,262.212464,93,1704605400,71,Greed
2024-01-08,1,6,15078.63093734375,108119.81523000001,1522452.43,"{'SELL': 88, 'BUY': 40}",2533.4020265625,"{'Close Long': 54, 'Open Short': 34, 'Open Long': 27, 'Close Short': 13}",-2.1083940546875,-269.874439,128,38,128,380.613064,114,1704691800,71,Greed
2024-01-09,1,6,14127.109546714286,129356.31168,870051.97,"{'SELL': 42, 'BUY': 28}",2899.006581142857,"{'Close Long': 25, 'Open Long': 25, 'Open Short': 17, 'Close Short': 3}",-11.804998042857143,-826.349863,70,23,67,204.012928,65,1704778200,76,Extreme Greed
2024-01-10,1,5,12914.76879230052,200302.43156,2057479.48,"{'SELL': 101, 'BUY': 92}",138.77570626943006,"{'Open Long': 56, 'Open Short': 54, 'Close Long': 47, 'Close Short': 36}",-7.860576901554404,-1517.091342,193,55,129,434.044865,170,1704864600,73,Greed
2024-01-11,2,3,12141.70542857143,846.43972,305314.1,"{'BUY': 13, 'SELL': 8}",58.549595714285715,"{'Open Long': 8, 'Close Short': 5, 'Open Short': 4, 'Close Long': 4}",-7.813785761904761,-164.08950099999998,21,9,21,75.867171,20,1704951000,76,Extreme Greed
2024-01-12,1,2,39774.47142857143,1542.27934,200082.27,"{'BUY': 5, 'SELL': 2}",0.3402285714285714,"{'Open Long': 5, 'Close Long': 2}",-275.0741462857143,-1925.519024,7,5,6,49.480726999999995,7,1705037400,71,Greed
2024-01-15,2,2,16738.085714285717,1.43192,50636.1,"{'SELL': 9, 'BUY': 5}",0.16323428571428572,"{'Close Long': 9, 'Open Long': 5}",10.918112857142857,152.85358,14,2,14,12.652712,14,1705296600,52,Neutral
2024-01-16,2,3,19105.61008888889,2608.18062,116427.33,"{'SELL': 5, 'BUY': 4}",314.06090666666665,"{'Close Long': 5, 'Open Long': 4}",-255.4634953333333,-2299.171458,9,4,7,17.319309,9,1705383000,64,Greed
2024-01-17,1,2,20112.302,4055.02266,800831.03,"{'BUY': 31, 'SELL': 22}",210.5591488679245,"{'Open Long': 20, 'Open Short': 14, 'Close Short': 11, 'Close Long': 8}",15.344794547169812,813.2741110000001,53,15,36,159.707606,49,1705469400,60,Greed
2024-01-18,1,2,24363.11304347826,93.72578,424631.52999999997,"{'SELL': 28, 'BUY': 18}",6.626629130434783,"{'Open Short': 22, 'Open Long': 15, 'Close Long': 6, 'Close Short': 3}",1.4985476086956522,68.93319,46,7,27,92.657901,44,1705555800,63,Greed
2024-01-19,2,3,14421.93125,1754.7376,428428.97,"{'BUY': 31, 'SELL': 17}",10.849159583333332,"{'Open Long': 18, 'Close Long': 13, 'Close Short': 13, 'Open Short': 3, 'Long > Short': 1}",-8.029567395833334,-385.419235,48,19,42,93.051868,46,1705642200,51,Neutral
2024-01-20,1,16,14671.724672933962,256540.35666,1070090.51,"{'BUY': 60, 'SELL': 46}",-657.2383409433962,"{'Open Long': 45, 'Open Short': 29, 'Close Long': 17, 'Close Short': 15}",-1.3827817924528305,-146.57487000000003,106,37,106,267.522583,103,1705728600,52,Neutral
2024-01-21,1,4,19141.940333454546,44252.23533,103129.74,"{'SELL': 8, 'BUY': 3}",9814.085519090908,"{'Open Short': 5, 'Close Long': 3, 'Close Short': 2, 'Open Long': 1}",24.234649636363642,266.58114600000005,11,4,11,25.78243,11,1705815000,56,Greed
2024-01-22,2,10,6179.383261176471,156977.46867,337878.99,"{'BUY': 51, 'SELL': 34}",1218.6695727058823,"{'Open Long': 30, 'Close Short': 21, 'Close Long': 20, 'Open Short': 14}",16.18401128235294,1375.640959,85,38,62,67.478268,77,1705901400,55,Greed
2024-01-23,1,8,11768.913676111111,87110.23871,414518.93000000005,"{'BUY': 33, 'SELL': 12}",-1896.9081931111111,"{'Open Long': 20, 'Close Short': 13, 'Close Long': 7, 'Open Short': 5}",-8.20543844444444,-369.2447299999998,45,15,27,85.72457,44,1705987800,50,Neutral
2024-01-24,1,4,16861.48394732353,48160.40059,965084.59,"{'SELL': 41, 'BUY': 27}",222.05514102941174,"{'Close Long': 27, 'Open Short': 14, 'Open Long': 14, 'Close Short': 13}",-41.29932080882353,-2808.353815,68,20,67,227.771095,65,1706074200,48,Neutral
2024-01-25,1,1,87.95416666666667,756.8299999999999,66566.13,{'SELL': 6},432.0683333333333,{'Close Long': 6},-515.6048975,-3093.6293849999997,6,1,6,16.641532,6,1706160600,52,Neutral
2024-01-26,2,2,0.1198688,95267.0,11773.21,"{'BUY': 4, 'SELL': 1}",37553.4,"{'Open Long': 4, 'Close Long': 1}",18.04,90.2,5,3,3,0.444235,5,1706247000,49,Neutral
2024-01-28,1,1,16.956,1068.0,18109.03,{'SELL': 11},703.7363636363635,{'Close Long': 11},-225.27906545454545,-2478.06972,11,1,0,-0.362176,11,1706419800,54,Neutral
2024-01-29,2,11,15636.855511594595,237603.48712,414208.18,"{'SELL': 53, 'BUY': 21}",6170.038874864865,"{'Close Long': 35, 'Open Short': 18, 'Open Long': 11, 'Close Short': 10}",6.5751694864864865,486.562542,74,18,73,103.26260500000001,72,1706506200,55,Greed
2024-01-30,1,2,27371.991836734695,91.43791999999999,401011.38,"{'BUY': 28, 'SELL': 21}",3.410568775510204,"{'Open Short': 16, 'Open Long': 14, 'Close Short': 14, 'Close Long': 5}",-3.5439630816326537,-173.65419100000003,49,8,49,100.25281,49,1706592600,61,Greed
2024-01-31,1,8,28200.90456028405,42786.30905,6305647.13,"{'BUY': 470, 'SELL': 389}",15.367925192083819,"{'Close Short': 250, 'Open Long': 219, 'Open Short': 201, 'Close Long': 187, 'Long > Short': 1, 'Short > Long': 1}",-0.93113017112922,-799.840817,859,133,851,1549.411475,570,1706679000,60,Greed
2024-02-01,1,3,0.07612616666666668,44986.0,2008.18,{'BUY': 6},18562.666666666668,{'Open Long': 6},0.0,0.0,6,6,6,0.5020439999999999,6,1706765400,63,Greed
